N,P,K,temperature,humidity,ph,soil_moisture,label
90,42,43,20.87974371,82.00274423,6.502985292000001,704.3792001517471,rice
85,58,41,21.77046169,80.31964408,7.038096361,795.8168377955055,rice
60,55,44,23.00445915,82.3207629,7.840207144,939.637248910139,rice
74,35,40,26.49109635,80.15836264,6.980400905,858.2985655429904,rice
78,42,42,20.13017482,81.60487287,7.628472891,934.8305780072203,rice
69,37,42,23.05804872,83.37011772,7.073453503,889.8737133758368,rice
69,55,38,22.70883798,82.63941394,5.70080568,968.011490562471,rice
94,53,40,20.27774362,82.89408619,5.718627177999999,854.8683463457597,rice
89,54,38,24.51588066,83.53521629999999,6.685346424,810.4295063589346,rice
68,58,38,23.22397386,83.03322691,6.336253525,774.8218721753129,rice
91,53,40,26.52723513,81.41753846,5.386167788,942.1453157235089,rice
90,46,42,23.97898217,81.45061596,7.50283396,886.1276762268146,rice
78,58,44,26.80079604,80.88684822,5.108681786,1018.5550542538018,rice
93,56,36,24.01497622,82.05687182,6.98435366,636.3090583104645,rice
94,50,37,25.66585205,80.66385045,6.94801983,730.0196485496147,rice
60,48,39,24.28209415,80.30025587,7.042299068999999,812.8970071670967,rice
85,38,41,21.58711777,82.7883708,6.2490506560000005,988.5594599213655,rice
91,35,39,23.79391957,80.41817957,6.970859754,717.1991622191866,rice
77,38,36,21.8652524,80.1923008,5.953933276,787.7195940085919,rice
88,35,40,23.57943626,83.58760316,5.85393208,1045.0079965652449,rice
89,45,36,21.32504158,80.47476396,6.442475375,637.1576485017821,rice
76,40,43,25.15745531,83.11713476,5.070175667,814.0456889624967,rice
67,59,41,21.94766735,80.97384195,6.012632591,744.5491397059968,rice
83,41,43,21.0525355,82.67839517,6.254028451,820.6886611418346,rice
98,47,37,23.48381344,81.33265073,7.375482851,785.8041047351763,rice
66,53,41,25.0756354,80.52389148,7.778915154,912.8059274963983,rice
97,59,43,26.35927159,84.04403589,6.2865001760000006,968.1416053119882,rice
97,50,41,24.52922681,80.54498576,7.070959995,925.370954350014,rice
60,49,44,20.77576147,84.49774397,6.244841491,847.5705662242287,rice
84,51,35,22.30157427,80.64416466,6.043304899,685.2728414492526,rice
73,57,41,21.44653958,84.94375962,5.824709117,971.3916761816988,rice
92,35,40,22.17931888,80.33127223,6.3573893660000005,693.4033786343573,rice
85,37,39,24.52783742,82.73685569,6.364134967999999,788.1849013112305,rice
98,53,38,20.26707606,81.63895217,5.01450727,964.6071233128923,rice
88,54,44,25.7354293,83.88266234,6.149410611,820.7833199083327,rice
95,55,42,26.79533926,82.1480873,5.950660556,667.418129407639,rice
99,57,35,26.75754171,81.17734011,5.960370061,971.7701678463444,rice
95,39,36,23.86330467,83.15250801,5.561398642,1021.6887121413987,rice
60,43,44,21.01944696,82.95221726,7.416245107000001,1072.3898874050258,rice
63,44,41,24.17298839,83.7287574,5.583370042,912.9233812947396,rice
62,42,36,22.78133816,82.06719137,6.430010215,880.8661158207193,rice
64,45,43,25.62980105,83.52842314,5.534878156,731.2270990695783,rice
83,60,36,25.59704938,80.14509262,6.903985986,696.2815026460557,rice
82,40,40,23.83067496,84.81360127,6.271478837999999,1073.0,rice
85,52,45,26.31355498,82.36698992,7.224285503,945.6945915760714,rice
91,35,38,24.8972823,80.52586088,6.13428721,630.1488980352732,rice
76,49,42,24.958779,84.47963372,5.206373153,681.3288391263344,rice
